"Progrès vers l’atteinte des objectifs de population et de répartition des populations d’espèces en péril, Canada, mai 2023",,,,,,,,,,
,,,,,,,,,,
Nom commun,Nom scientifique,Groupe d'espèces,Désignation de la Loi sur les espèces en péril,Version finale du document de rétablissement,COSEWIC Date de réévaluation,Date du rapport sur les progrès de la mise en œuvre du programme de rétablissement,Objectifs du document de rétablissement,Données sur les espèces,Logique,Progrès vers l’atteinte des objectifs de population et de répartition des populations d’espèces en péril
Salamandre sombre des montagnes (Population carolinienne),Desmognathus ochrophaeus,Amphibien,En voie de disparition,3/6/2019,4/1/2018,4/1/2018,"Protéger les populations existantes et, si possible, introduire un habitat inoccupé dans le but d'augmenter la taille de la population de 50 %.","Probablement moins de 100 individus matures, répartis dans 2 endroits.","Actuellement, il est impossible de déterminer les tendances de la population pour cette espèce. ",Données insuffisantes pour déterminer les tendances
Salamandre sombre des montagnes (Population des Grands Lacs et du Saint-Laurent),Desmognathus ochrophaeus,Amphibien,Menacée,12/10/2014,4/1/2018,4/1/2018,Maintenir la présence dans chacune des occurrences connues.,Probablement moins de 1000 individus matures.,Les tendances de la population ne peuvent pas être évaluées à l'aide des données disponibles.,Données insuffisantes pour déterminer les tendances
Scolopendre,Asplenium scolopendrium,"Plante vasculaire, fougère",Préoccupante,4/30/2013,11/1/2016,11/1/2016,Maintenir les populations existantes à leur taille et leur répartition actuelles.,La taille de la population canadienne est évaluée à plus de 110 000 individus. L’abondance de la population canadienne n’a pas été calculée dans le passé. Il n’est donc pas possible de savoir si un changement s’est produit.,Les tendances des populations ne sont pas connues.,Données insuffisantes pour déterminer les tendances
Martre d'Amérique (Population de Terre-Neuve),Martes americana atrata,Mammifère,Menacée,7/9/2013,5/1/2022,12/23/2022,Accroître la population sauvage de martres d’Amérique afin d’établir une population stable et autosuffisante à Terre-Neuve. Maintenir les zones actuellement occupées par la martre d’Amérique et établir l’espèce dans les aires adjacentes à des populations connues où le potentiel d’occupation est élevé. ,"La population de la Martre d’Amérique a été estimée entre 630 et 875 individus en 1985, à 300 individus matures en 1995, entre 320 et 622 individus matures en 2007 et entre 2 494 et 2 773 individus matures en 2019. L’aire de répartition de la martre de Terre-Neuve a augmenté depuis 2007. Elle est désormais présente dans au moins 15 des 18 districts d’aménagement forestier, ainsi que dans les deux parcs nationaux. L’espèce recolonise certaines parties de son aire de répartition historique, notamment dans la péninsule de Baie Verte, le secteur sud de Stephenville et les zones forestières du centre-sud de Terre-Neuve. Au cours des années 1990, elle était considérée comme disparue du parc national du Canada du Gros-Morne, mais la population a été estimée à quelque 5 individus en 2001-2002, entre 15 et 20 individus en 2012 et entre 26 et 36 individus en 2017. Dans le parc national Terra-Nova, de 2017 à 2022, le taux de capture a dépassé les niveaux de référence de 2,59 captures par 100 nuits de piégeage. La population est bien établie et stable.","Selon les estimations, le nombre total d’individus matures aurait augmenté entre 2007 et 2019, et les zones d’occurrence et d’occupation de l’espèce se sont étendues.",Montre des progrès
Carmantine d'Amérique,Justicia americana,"Plante vasculaire, herbe",Menacée,3/28/2011,4/1/2021,,"Les objectifs de population et de répartition sont de maintenir (et si possible, augmenter) le nombre actuel d'individus dans les populations existantes, de maintenir le nombre de sites (10) et de prévenir le déclin dans la qualité de l'habitat.","Il y a 13 sous-populations existantes connues. En 2020, la population canadienne était estimée à 1 432 595 individus matures. La meilleure information disponible suggère un déclin de 94,4 % dans la population canadienne dans les 10 dernières années. Le déclin est attribué à des pertes dans la sous-population de la rivière des Milles-Îles, qui constituait 99 % du total de la population canadienne en 2007. Elle a connu un déclin dramatique en 2010 et s'est par la suite stabilisée. Les autres sous-populations sont un mélange de déclin, d'augmentation et de stabilité.","Même si les tendances varient entre les populations, il y a eu un déclin de 94,4 % observé entre 2007 et 2014 dans l'ensemble de la population, majoritairement dans la sous-population de la rivière des Milles-Îles (qui constitue 99 % de la population totale au Canada).",Ne montre aucun progrès
Aster d'Anticosti,Symphyotrichum anticostense,"Plante vasculaire, herbe",Préoccupante,9/27/2012,4/1/2017,4/1/2017,"Maintenir la population canadienne à sa taille, sa répartition et sa zone d’occupation connues actuelles.",La population se situe quelque part entre 410 000 et 1 063 000 tiges réparties dans 18 sous populations. Les sous-populations semblent stables.,Les populations sont stables.,Montre des progrès
Arméria de l’Athabasca,Armeria maritima ssp. Interior,"Plante vasculaire, herbe",Préoccupante,12/18/2013,4/1/2018,4/1/2018,Maintenir la densité de population actuelle et la zone d'occupation.,La population est estimée entre 1 080 000 et 9 360 000 individus. Sous-espèces réparties dans 3 sous-populations distinctes dans 3 champs de dunes distincts. Déclin potentiel de l'étendue de l'occurrence en raison de l'entrée de forêt le long des marges ouest des dunes de la rivière William. Déclin de l'habitat en raison de la conversion nette de surface de dunes ouvertes en forêt.,Aucun information n'est disponible pour évaluer les tendances de population.,Données insuffisantes pour déterminer les tendances
Saumon atlantique (Populations de l'intérieur de la baie de Fundy),Salmo salar,Poisson de mer,En voie de disparition,5/4/2010,11/1/2010,8/3/2021,"Conserver les caractéristiques génétiques des quelques populations anadromes restantes de saumon atlantique de l'intérieur de la baie de Fundy, d'ici 2015. Rétablir des populations autosuffisantes jusqu'à leurs niveaux de conservation dans 10 réseaux hydrographiques.","Cette population s'est déjà reproduite dans 32 affluents de l'intérieur de la baie de Fundy?; toutefois, il n'y a plus de frai dans la plupart des rivières. Au début du 20e siècle, la population comptait environ 40 000 individus, alors qu'elle était évaluée à moins de 200 individus en 2008. La survie de la phase marine du cycle biologique de l'espèce est actuellement extrêmement faible et l'existence continue de cette population dépend d'un programme d'élevage en captivité. ",Il reste moins de 200 individus matures en milieu naturel et la population n'est pas autosuffisante.,Ne montre aucun progrès
Morse de l'Atlantique (Population de l'Atlantique Nord-Ouest),Odobenus rosmarus rosmarus,Mammifère,Disparue du pays,2/26/2008,4/1/2017,,Irréalisable,n/d,n/d,Irréalisable
Corégone de l'Atlantique,Coregonus huntsmani,"Poisson, eau douce",En voie de disparition,2/23/2007,12/1/2022,9/6/2022,Atteindre une stabilité de la population existante en Nouvelle-Écosse. Rétablir la forme anadrome (qui fréquente l'océan). Augmenter le nombre et l'aire de répartition des populations viables.,"La taille exacte de la population restante n'est pas connue, mais on pense qu'elle est petite. L'espèce est endémique au Canada et sa répartition actuelle est limitée à trois lacs interconnectés dans le sud-ouest de la Nouvelle-Écosse. L'espèce est menacée par les poissons prédateurs introduits illégalement, les structures de contrôle de l'eau qui entravent les déplacements, la modification des niveaux d'eau par les municipalités et la baisse de la qualité de l'habitat. Les poissons élevés en écloserie et relâchés dans un deuxième lac n'ont pas persisté, de sorte que l'étendue de la présence de l'espèce reste inchangée. De nouveaux efforts d'élevage en captivité sont en cours et l'extension de l'aire de répartition est planifiée.","Les efforts précédents visant à étendre l'aire de répartition de l'espèce n'ont pas été couronnés de succès. De nouveaux efforts d'élevage en captivité et d'extension de l'aire de répartition sont prévus et en cours, mais n'ont pas encore été pleinement mis en œuvre. L'espèce reste menacée par les poissons prédateurs introduits illégalement, les structures de contrôle de l'eau qui entravent les déplacements, la modification des niveaux d'eau par les municipalités et la baisse de la qualité de l'habitat. Si ces menaces ne sont pas enrayées, elles conduiront à l'extinction de cette espèce canadienne unique.",Ne montre aucun progrès
